Mvir,Mstar
20923887151797.17,575445031666.9532
19444554905436.695,628107642130.6879
15629839612439.664,666831936100.8959
13835427609578.162,360013258979.764
10739000648113.223,372546064040.019
9328990989387.764,384018540999.43835
8525735353220.773,439839393838.72974
8152440698956.621,378123034730.26855
7226733227265.388,263341295441.44238
5808197827840.456,156186205029.71683
5239924920837.481,166373086016.09726
4218345448919.7886,186065739761.93506
3573749576405.9214,175882459869.73203
3334540952193.779,188116480631.20834
3431295976311.733,170463653376.23404
3726979951351.854,121601258511.13512
3216807711498.4336,104108030572.58029
3036998107037.7134,128750426760.4757
2765107822175.383,119403199398.04749
2562392816545.236,149612961901.08142
2669766443074.4297,110986749413.70663
2478175696406.2583,144331580916.11218
2576601664327.98,85262108853.46642
2086897908247.0327,100496206523.22655
1848330880749.5217,118983422227.53258
1901645405568.094,101289461954.74986
2022616294732.863,69053938195.97995
1878948029243.4072,74384747831.2598
1554328423659.9302,82402475723.43547
1573088310982.438,52179867164.1863
1478580984764.1587,66168314534.204994
1416368238427.6084,58502560543.113365
1367211670699.282,58619841042.2467
1328172421014.3665,66406908236.51735
1318424803815.8523,64380846814.30286
1385247827381.1013,32793156529.010056
1181383070703.178,61250538724.79176
1113648204115.5554,66216790334.97571
969828173692.551,80207144176.23853
1036028766392.3229,68693643567.862595
952592030776.3755,66507808484.911995
863420063967.6934,59310932913.097466
946460356268.9097,37383483842.908615
789365596199.9868,58986607968.72876
900732316694.8888,42061501957.86726
765732391701.761,44701407419.58561
721082048896.6345,46186016125.958725
720303461586.5614,41478651526.12724
707976014851.648,42623063923.61835
803133261446.3998,31440268244.623417
636641524635.046,49639792013.3074
721978073839.883,34422394452.28815
763525339070.3915,19374124967.329803
638553822578.7645,38205763933.530106
537766903098.8286,52246162181.13852
639585517446.1031,35078175739.39746
682861806093.0721,29402645334.764427
619716119533.0638,27241706986.83491
355339572728.2133,66656142548.13991
444893168788.8886,50842883445.08326
479561955805.6132,41552802979.37456
492565508166.0591,31939088377.815376
426282789761.1135,40136679528.28155
486810894317.9694,27621162180.223408
431031570026.6939,34787057486.01521
485360697292.99756,25107843485.298283
417045887984.5329,32982990545.61371
403997631015.6228,36428996958.732216
418900051863.0657,31323566335.201294
452629601056.817,26602176088.474342
428770336057.17676,27602732013.775494
456306484353.837,24942223434.321465
395847433292.67615,33448491949.51522
350250088614.4294,37191864492.09556
386990251543.9522,29421080819.372505
326738673785.1792,39642910240.121864
357091065349.98834,33576741936.34429
392632698407.236,26333330040.660007
333950267667.31354,37082908213.0718
365804973894.97723,29620927261.475338
354073898901.92676,28866227935.77536
325972652767.716,31624665626.704582
397123827402.3434,21569369189.06211
353982659072.1871,25847105213.012043
349661449975.6544,26760565015.06997
320201070813.18896,32127532564.186916
224644759526.26355,41994928845.03251
335245708374.2696,22781340292.69156
248694980325.24985,35484569206.642136
357714320604.11566,17647791961.99917
297558733745.0543,26022280914.24612
286166598851.70593,27622256780.32079
293218923578.49054,25569359690.960667
324275306269.2927,17779096293.033154
267647873881.16534,27455683885.617104
260361651682.0803,24561038137.981857
201307982640.6674,34319985706.3356
220117714706.13977,32245732527.19345
327607809468.11145,12762472503.870295
272474058278.27844,21113514442.108837
377569101281.19635,5772433836.531785
285225329154.47015,17733582538.778763
161860228861.4032,36240813476.51553
252402131613.77103,21600742045.83095
346018213065.5091,7375357390.687544
292578578909.9869,16605906698.70605
234205596455.511,23625138736.80518
286500546296.67957,13993045159.032915
284606868178.4765,13341208600.87143
254661771923.73538,17880958266.175793
233897889661.72247,22547462305.43734
239430279364.14276,20026754340.651867
221696669321.1164,22265634278.455997
184209168935.389,28228771372.386566
227083235555.9259,19895361828.9651
271066746171.23306,11514262847.42878
274227186920.23993,10769779765.354288
239201213765.39374,15727957040.366568
223798306212.25253,17799586348.600124
113062007759.90114,33557908528.623604
194146792603.77377,21273584088.029263
227476124513.8492,14761893498.152645
227689112716.10565,16855831857.942741
126837913597.25887,29268510899.421795
193584857732.3135,19000847639.45998
213536977715.15176,17641539773.542343
218728959152.5202,14681701325.741194
161245272285.98846,23398281779.369194
233044520994.94412,12069473419.781961
147676214002.2794,23924085573.504375
231659905141.58255,10141579618.613073
192205801763.25684,16101116666.841158
136765114650.02257,24589315183.954597
214549908226.9918,11379104382.682684
186148967582.26917,15073572782.377567
188084921041.1347,14753159510.363604
198670221656.9533,11824940156.460348
136091270564.79877,21077751331.831505
212039521957.03885,8283307674.476668
182663447953.6244,13813590897.922384
232028700098.7411,5430258448.907451
156647728173.43115,18130493597.233707
136410272353.59154,20488135929.267586
212433871696.65475,8129974286.3815975
178267084673.2003,13751973937.194252
182482291332.0059,12564566030.377554
185252945274.1972,12473482808.945646
215703986332.80966,6672737397.4113655
148431697161.45874,17334429835.115353
165593477057.8617,14437659779.693884
124369014638.15947,21311869948.12866
227548738769.88293,4426288979.468533
156087864561.64944,16182676140.400343
221890371286.7004,6244577923.257211
214492863616.29904,5353294907.857449
193367932174.71182,9299702859.398077
241420559963.92065,3119631550.9854736
142095507752.3026,16663162398.218773
154572090559.64893,14478464626.515194
169922019104.2038,10625249250.559359
81692162565.21536,24816059533.76934
96713066435.08102,22331167291.514496
103092782397.18338,21401675952.50719
172554544466.5048,9629643804.916729
206096605381.6793,5351488801.924903
198463234721.73715,5627678663.629296
219504404839.50827,3521972710.5756884
58452060796.09273,25886139512.23182
111645072105.84523,18870924277.362804
212689840829.57037,3469200186.3336444
188344822106.57242,6510505169.818846
179952123684.1827,6986822883.480715
133720584740.11055,14945721909.720476
211582383199.76547,3633223390.084785
130512599704.17574,15398842881.361052
144503921885.76535,11801229304.14064
144467246574.7924,12155302298.072586
166091468355.7198,7802558236.881198
160471931057.37357,9547895078.478657
195765688604.91702,4630974979.464982
89835204223.84589,20053230411.330685
168789367616.98578,7098446536.977759
206262848495.27176,3189913709.26346
146630625903.71808,11907431170.26147
163187206303.7145,7800559439.49436
164372110611.8014,7657730988.069582
203516011491.21536,3308537044.512905
128525494397.788,13390396675.638313
161083522952.2965,7835787290.085436
169717299759.6123,5936995506.663205
146734013144.48016,9231077626.49245
155648179320.6687,7209587419.018818
133328836331.80493,11247408393.301651
195635723801.25302,2669599282.8150973
134688663370.56042,9999476936.152258
148932782546.9671,7618179544.312508
154295442486.72998,6077563740.212673
127875138844.21754,10705984089.866823
130844782621.3515,10676114221.910515
94807969218.36787,15791690886.22484
191053588947.20316,2060664306.741478
185310892327.69553,2068744921.2408335
98082528630.1369,14728547660.419573
168423057179.3323,4878125554.440905
133050171777.84206,9447551936.719168
125229096414.14738,8874762662.633842
94247064356.82912,14534434913.466911
126707665419.43555,8955155679.391676
153086037556.91385,4803805142.87704
127080381544.73491,9127444272.19947
152440646317.4123,5064724733.11066
156774423605.52036,4322603218.819104
119086412402.15944,10125277017.308811
89471563084.25113,14919596145.322088
117149095339.12279,10003171915.051542
122765160938.093,9255333887.883049
121427015320.50842,8854942280.327644
105136757423.02563,11633533124.791697
145755345637.76968,6234929606.485488
137427637160.53572,5923426029.269941
134785817407.25024,6560891483.976266
108802716916.01135,10782389496.358564
137414913347.67392,5789162575.395694
74295896573.63878,16056453330.817583
138523294845.12234,5693887540.15937
110875784475.88582,9989601103.85858
139156034141.7088,5254406836.2187195
157399284889.77798,2430706332.572722
90164411836.95218,12960894520.698252
121067205454.61983,8497089263.967053
81243116428.92168,13689093631.841433
49235640985.55833,17827130119.379627
107119493195.8421,9173342654.22306
120584332709.50502,7113474313.996088
123941342384.51364,6064817634.738311
132586532851.85548,4795240636.707487
143388647823.0731,3349106249.761264
124242696449.68861,6125289447.14108
112341108985.33034,7547018048.58017
113659010463.10225,7236381960.756686
153803670771.0381,2460151806.141554
124427023131.32948,5228361840.168661
132250181987.82127,4024517021.426788
100256024043.6775,8605106013.71837
150621947256.52634,2188456535.2661653
119244548559.61002,5042547638.37571
121594957224.12503,4700651592.922907
112494251557.74265,5259012260.403822
75821774657.53174,12063516562.769388
117840363185.48024,5310552045.429211
106709698615.43066,6711439028.287046
105223420831.24883,7080735547.481707
121576428741.74928,4978421137.381707
72733595682.512,10871061196.307566
128189535726.05247,2380566380.731433
38291431149.44655,15766815859.715992
78088900185.43747,10257707628.289902
115883567416.78627,3882220857.030878
117358584459.32944,3483997938.6590614
103247339724.36685,5654045908.5457535
123507934110.15143,2755118247.8279176
104901671269.39635,5309886251.540883
118511468342.47777,3023515418.093057
124962134599.62762,2462425801.9922566
55524586870.95546,12491437160.547842
137309466609.01787,1278842856.2504811
119051271459.8855,2831305487.660756
47697354426.11727,13623575785.739252
117067559678.08823,3098016424.3189106
114619777665.02393,3416117677.899563
105099724313.26585,4789969871.934603
76741718031.88806,9199134086.789148
110477986009.49706,3888975389.1313305
98796036365.81502,5909963124.061207
117192330648.97498,2558415946.315884
111892843670.04417,3016844647.152449
86615515809.67328,7407878607.905487
111263590317.87044,3050269041.867467
60103158373.097534,11087113488.735666
114956663552.54207,2493809292.297483
116103064665.09488,1970425795.0220723
88936113651.45068,7189598453.221533
107161954650.00105,3233601817.647728
68606609545.61619,9421109834.98201
113110118266.61868,2925691666.3074484
103545796586.04855,3818075422.33986
118915103539.29712,2443798468.6939993
111407109905.75429,2398048533.516419
125806020105.68924,874649171.272268
87427827701.92664,5393810380.793714
